State,Age_Bracket,Age_Lower,Age_Upper,Race,Deaths,Bracket_Median_Age,Bracket_Mean_Age,Life Expectancy,YLL (based on age bracket median),YLL (based on age bracket weighted mean),YLL (based on upper age in bracket)
California,0_17,0.0,17.0,Total,14.0,8.5,8.58,81.676488633,1024.4708408620002,1023.350840862,905.470840862
California,18_34,18.0,34.0,Total,709.0,26.0,26.03,81.676488633,39474.630440797,39453.360440797005,33802.630440797
California,35_49,35.0,49.0,Total,2724.0,42.0,41.8,81.676488633,108078.75503629202,108623.55503629202,89010.75503629202
California,50_64,50.0,64.0,Total,10232.0,57.0,56.12,81.676488633,252489.83169285607,261493.99169285607,180865.83169285607
California,65_79,65.0,79.0,Total,17628.0,72.0,71.55,81.676488633,170577.1416225241,178509.74162252413,47181.14162252409
California,80+,80.0,,Total,20672.0,80.0,85.19,81.676488633,34656.37302137611,0.0,
Illinois,0_19,0.0,19.0,Total,16.0,9.5,9.59,79.379844093,1118.077505488,1116.637505488,966.077505488
Illinois,20_29,20.0,29.0,Total,64.0,24.5,24.46,79.379844093,3512.310021952,3514.870021952,3224.310021952
Illinois,30_39,30.0,39.0,Total,218.0,34.5,34.69,79.379844093,9783.806012274,9742.386012274,8802.806012274
Illinois,40_49,40.0,49.0,Total,567.0,44.5,44.3,79.379844093,19776.871600731003,19890.271600731005,17225.371600731003
Illinois,50_59,50.0,59.0,Total,1386.0,54.5,54.09,79.379844093,34483.463912898005,35051.723912898,28246.463912898005
Illinois,60_69,60.0,69.0,Total,3270.0,64.5,64.3,79.379844093,48657.090184110006,49311.09018411002,33942.090184110006
Illinois,70_79,70.0,79.0,Total,5127.0,74.5,74.23,79.379844093,25018.960664811013,26403.250664810992,1947.4606648110137
Illinois,80+,80.0,,Total,9978.0,80.0,85.19,79.379844093,0.0,0.0,
Michigan,0_9,0.0,9.0,Total,0.0,4.5,4.58,78.140224099,0.0,0.0,0.0
Michigan,10_19,10.0,19.0,Total,7.0,14.5,14.84,78.140224099,445.481568693,443.10156869299993,413.981568693
Michigan,20_29,20.0,29.0,Total,59.0,24.5,24.46,78.140224099,3164.7732218409997,3167.133221841,2899.2732218409997
Michigan,30_39,30.0,39.0,Total,119.0,34.5,34.69,78.140224099,5193.186667780999,5170.576667781,4657.686667780999
Michigan,40_49,40.0,49.0,Total,401.0,44.5,44.3,78.140224099,13489.729863698998,13569.929863698999,11685.229863698998
Michigan,50_59,50.0,59.0,Total,1110.0,54.5,54.09,78.140224099,26240.64874988999,26695.74874988999,21245.64874988999
Michigan,60_69,60.0,69.0,Total,2663.0,64.5,64.3,78.140224099,36323.916775636986,36856.51677563699,24340.416775636982
Michigan,70_79,70.0,79.0,Total,4415.0,74.5,74.23,78.140224099,16071.589397084974,17263.639397084957,0.0
Michigan,80+,80.0,,Total,7771.0,80.0,85.19,78.140224099,0.0,0.0,
New Mexico,18_44,18.0,44.0,Total,226.0,31.0,31.6,77.975959449,10616.566835474001,10480.966835474,7678.566835474
New Mexico,45_64,45.0,64.0,Total,854.0,54.5,53.14,77.975959449,20048.469369446,21209.909369446,11935.469369446
New Mexico,65_74,65.0,74.0,Total,867.0,69.5,69.34,77.975959449,7348.656842283001,7487.376842282998,3447.156842283001
New Mexico,75+,75.0,,Total,1781.0,75.0,81.49,77.975959449,5300.183778669002,0.0,
South Dakota,0_9,0.0,9.0,Total,0.0,4.5,4.58,78.909322912,0.0,0.0,0.0
South Dakota,10_19,10.0,19.0,Total,0.0,14.5,14.84,78.909322912,0.0,0.0,0.0
South Dakota,20_29,20.0,29.0,Total,7.0,24.5,24.46,78.909322912,380.86526038399995,381.1452603839999,349.36526038399995
South Dakota,30_39,30.0,39.0,Total,18.0,34.5,34.69,78.909322912,799.3678124159999,795.9478124159999,718.3678124159999
South Dakota,40_49,40.0,49.0,Total,35.0,44.5,44.3,78.909322912,1204.3263019199999,1211.3263019199999,1046.8263019199999
South Dakota,50_59,50.0,59.0,Total,113.0,54.5,54.09,78.909322912,2758.253489055999,2804.583489055999,2249.753489055999
South Dakota,60_69,60.0,69.0,Total,250.0,64.5,64.3,78.909322912,3602.330727999998,3652.330727999999,2477.330727999998
South Dakota,70_79,70.0,79.0,Total,432.0,74.5,74.23,78.909322912,1904.827497983997,2021.4674979839954,0.0
South Dakota,80+,80.0,,Total,1038.0,80.0,85.19,78.909322912,0.0,0.0,
California,0_17,0.0,17.0,White,3.0,8.5,8.58,80.455961178,215.867883534,215.62788353399998,190.367883534
California,18_34,18.0,34.0,White,73.0,26.0,26.03,80.455961178,3975.2851659939997,3973.0951659939997,3391.2851659939997
California,35_49,35.0,49.0,White,275.0,42.0,41.8,80.455961178,10575.38932395,10630.38932395,8650.38932395
California,50_64,50.0,64.0,White,1719.0,57.0,56.12,80.455961178,40320.79726498199,41833.517264981994,28287.797264981993
California,65_79,65.0,79.0,White,5089.0,72.0,71.55,80.455961178,43032.386434841974,45322.43643484199,7409.386434841977
California,80+,80.0,,White,9153.0,80.0,85.19,80.455961178,4173.412662233958,0.0,
Illinois,0_19,0.0,19.0,White,0.0,9.5,9.59,79.606240842,0.0,0.0,0.0
Illinois,20_29,20.0,29.0,White,6.0,24.5,24.46,79.606240842,330.63744505200003,330.87744505200004,303.63744505200003
Illinois,30_39,30.0,39.0,White,26.0,34.5,34.69,79.606240842,1172.7622618920002,1167.8222618920001,1055.7622618920002
Illinois,40_49,40.0,49.0,White,114.0,44.5,44.3,79.606240842,4002.1114559880007,4024.911455988001,3489.1114559880007
Illinois,50_59,50.0,59.0,White,438.0,54.5,54.09,79.606240842,10996.533488796002,11176.113488796002,9025.533488796002
Illinois,60_69,60.0,69.0,White,1402.0,64.5,64.3,79.606240842,21178.949660484006,21459.34966048401,14869.949660484008
Illinois,70_79,70.0,79.0,White,3005.0,74.5,74.23,79.606240842,15344.253730210015,16155.603730210005,1821.753730210016
Illinois,80+,80.0,,White,7122.0,80.0,85.19,79.606240842,0.0,0.0,
Michigan,0_9,0.0,9.0,White,0.0,4.5,4.58,78.770582148,0.0,0.0,0.0
Michigan,10_19,10.0,19.0,White,0.0,14.5,14.84,78.770582148,0.0,0.0,0.0
Michigan,20_29,20.0,29.0,White,29.0,24.5,24.46,78.770582148,1573.8468822920001,1575.006882292,1443.3468822920001
Michigan,30_39,30.0,39.0,White,47.0,34.5,34.69,78.770582148,2080.717360956,2071.787360956,1869.2173609560002
Michigan,40_49,40.0,49.0,White,163.0,44.5,44.3,78.770582148,5586.104890124,5618.7048901240005,4852.604890124
Michigan,50_59,50.0,59.0,White,559.0,54.5,54.09,78.770582148,13567.255420732,13796.445420732,11051.755420732
Michigan,60_69,60.0,69.0,White,1488.0,64.5,64.3,78.770582148,21234.626236224005,21532.226236224007,14538.626236224003
Michigan,70_79,70.0,79.0,White,2890.0,74.5,74.23,78.770582148,12341.982407720008,13122.282407719997,0.0
Michigan,80+,80.0,,White,5938.0,80.0,85.19,78.770582148,0.0,0.0,
New Mexico,18_44,18.0,44.0,White,21.0,31.0,31.6,78.706191143,1001.830014003,989.230014003,728.830014003
New Mexico,45_64,45.0,64.0,White,120.0,54.5,53.14,78.706191143,2904.7429371599997,3067.94293716,1764.7429371599997
New Mexico,65_74,65.0,74.0,White,208.0,69.5,69.34,78.706191143,1914.8877577439996,1948.167757743999,978.8877577439996
New Mexico,75+,75.0,,White,745.0,75.0,81.49,78.706191143,2761.1124015349988,0.0,
South Dakota,0_9,0.0,9.0,White,0.0,4.5,4.58,80.162843904,0.0,0.0,0.0
South Dakota,10_19,10.0,19.0,White,0.0,14.5,14.84,80.162843904,0.0,0.0,0.0
South Dakota,20_29,20.0,29.0,White,1.0,24.5,24.46,80.162843904,55.662843904,55.702843904,51.162843904
South Dakota,30_39,30.0,39.0,White,3.0,34.5,34.69,80.162843904,136.988531712,136.418531712,123.488531712
South Dakota,40_49,40.0,49.0,White,11.0,44.5,44.3,80.162843904,392.291282944,394.49128294400003,342.791282944
South Dakota,50_59,50.0,59.0,White,53.0,54.5,54.09,80.162843904,1360.130726912,1381.8607269119998,1121.630726912
South Dakota,60_69,60.0,69.0,White,152.0,64.5,64.3,80.162843904,2380.752273408,2411.1522734080004,1696.7522734079998
South Dakota,70_79,70.0,79.0,White,330.0,74.5,74.23,80.162843904,1868.7384883199998,1957.8384883199983,383.73848831999965
South Dakota,80+,80.0,,White,944.0,80.0,85.19,80.162843904,153.724645375999,0.0,
California,0_17,0.0,17.0,Black,1.0,8.5,8.58,76.167036179,67.667036179,67.587036179,59.16703617899999
California,18_34,18.0,34.0,Black,65.0,26.0,26.03,76.167036179,3260.8573516349998,3258.9073516349995,2740.8573516349998
California,35_49,35.0,49.0,Black,160.0,42.0,41.8,76.167036179,5466.725788639998,5498.725788639999,4346.725788639998
California,50_64,50.0,64.0,Black,655.0,57.0,56.12,76.167036179,12554.408697244995,13130.808697244996,7969.408697244995
California,65_79,65.0,79.0,Black,1198.0,72.0,71.55,76.167036179,4992.109342441991,5531.209342441995,0.0
California,80+,80.0,,Black,1143.0,80.0,85.19,76.167036179,0.0,0.0,
