State,County,Race,Race-County Life Expectancy,County Life Expectancy,Race-State Life Expectancy
Georgia,Appling,AIAN,,75.09966001,125.38476665
Georgia,Atkinson,AIAN,,72.807363746,125.38476665
Georgia,Bacon,AIAN,,73.85865167,125.38476665
Georgia,Baker,AIAN,,79.571400904,125.38476665
Georgia,Baldwin,AIAN,,74.920124954,125.38476665
Georgia,Banks,AIAN,,75.903065467,125.38476665
Georgia,Barrow,AIAN,,76.357988321,125.38476665
Georgia,Bartow,AIAN,,76.678260084,125.38476665
Georgia,Ben Hill,AIAN,,73.00461051,125.38476665
Georgia,Berrien,AIAN,,74.273758871,125.38476665
Georgia,Bibb,AIAN,,74.168583866,125.38476665
Georgia,Bleckley,AIAN,,77.644078856,125.38476665
Georgia,Brantley,AIAN,,74.377853836,125.38476665
Georgia,Brooks,AIAN,,74.19200133,125.38476665
Georgia,Bryan,AIAN,,76.312656637,125.38476665
Georgia,Bulloch,AIAN,,77.498207153,125.38476665
Georgia,Burke,AIAN,,73.955496175,125.38476665
Georgia,Butts,AIAN,,74.309823615,125.38476665
Georgia,Calhoun,AIAN,,77.676042169,125.38476665
Georgia,Camden,AIAN,,78.174079556,125.38476665
Georgia,Candler,AIAN,,74.541270046,125.38476665
Georgia,Carroll,AIAN,,75.252495412,125.38476665
Georgia,Catoosa,AIAN,,78.325077641,125.38476665
Georgia,Charlton,AIAN,,76.676296918,125.38476665
Georgia,Chatham,AIAN,,78.190745182,125.38476665
Georgia,Chattahoochee,AIAN,,79.029034433,125.38476665
Georgia,Chattooga,AIAN,,73.548461589,125.38476665
Georgia,Cherokee,AIAN,,80.281473967,125.38476665
Georgia,Clarke,AIAN,,79.005081332,125.38476665
Georgia,Clay,AIAN,,75.540071402,125.38476665
Georgia,Clayton,AIAN,,76.622749023,125.38476665
Georgia,Clinch,AIAN,,72.562091614,125.38476665
Georgia,Cobb,AIAN,,80.684108088,125.38476665
Georgia,Coffee,AIAN,,74.529472074,125.38476665
Georgia,Colquitt,AIAN,,74.36854576,125.38476665
Georgia,Columbia,AIAN,,80.475498238,125.38476665
Georgia,Cook,AIAN,,74.493338588,125.38476665
Georgia,Coweta,AIAN,,78.94401769,125.38476665
Georgia,Crawford,AIAN,,75.508586522,125.38476665
Georgia,Crisp,AIAN,,75.172800596,125.38476665
Georgia,Dade,AIAN,,76.367404424,125.38476665
Georgia,Dawson,AIAN,,77.104648376,125.38476665
Georgia,Decatur,AIAN,,74.266507804,125.38476665
Georgia,DeKalb,AIAN,,80.402244505,125.38476665
Georgia,Dodge,AIAN,,76.342468033,125.38476665
Georgia,Dooly,AIAN,,79.516503427,125.38476665
Georgia,Dougherty,AIAN,,74.441725155,125.38476665
Georgia,Douglas,AIAN,,77.839585406,125.38476665
Georgia,Early,AIAN,,73.039393215,125.38476665
Georgia,Echols,AIAN,,83.581382765,125.38476665
Georgia,Effingham,AIAN,,76.488185614,125.38476665
Georgia,Elbert,AIAN,,75.09341708,125.38476665
Georgia,Emanuel,AIAN,,72.374631486,125.38476665
Georgia,Evans,AIAN,,75.961909902,125.38476665
Georgia,Fannin,AIAN,,77.484900578,125.38476665
Georgia,Fayette,AIAN,,81.147419707,125.38476665
Georgia,Floyd,AIAN,,75.155579137,125.38476665
Georgia,Forsyth,AIAN,,82.311960582,125.38476665
