County,TOT_POP,WA_TOT,BA_TOT,AA_TOT,NH_TOT,H_TOT,WA_pct,BA_pct,AA_pct,NH_pct,H_pct
Appling,18386,14195,3595,153,16541,1845,0.7720548243228543,0.19552920700533014,0.008321549004677471,0.8996519090612423,0.10034809093875775
Atkinson,8165,6253,1418,82,6091,2074,0.7658297611757502,0.17366809552969995,0.010042865890998162,0.7459889773423147,0.2540110226576852
Bacon,11164,9009,1810,85,10206,958,0.8069688283769259,0.1621282694374776,0.007613758509494805,0.9141884629165173,0.08581153708348262
Baker,3038,1607,1338,35,2845,193,0.5289664252797893,0.44042132982225146,0.01152073732718894,0.9364713627386438,0.06352863726135616
Baldwin,44890,24255,19061,782,43839,1051,0.5403207841390064,0.42461572733348185,0.017420360882156382,0.9765872131877924,0.02341278681220762
Banks,19234,18036,549,202,17840,1394,0.937714463970053,0.02854320474160341,0.010502235624415098,0.9275241759384424,0.07247582406155766
Barrow,83240,66554,10725,3332,73103,10137,0.7995434887073523,0.12884430562229698,0.04002883229216723,0.8782196059586738,0.12178039404132629
Bartow,107738,91431,12224,1115,97871,9867,0.8486420761476916,0.113460431788227,0.010349180419165011,0.9084167146225102,0.09158328537748983
Ben Hill,16700,10021,6181,142,15652,1048,0.600059880239521,0.37011976047904194,0.008502994011976048,0.937245508982036,0.06275449101796407
Berrien,19397,16641,2164,240,18334,1063,0.857916172604011,0.11156364386245296,0.012373047378460587,0.945197710986235,0.054802289013765014
Bibb,153159,61227,85466,3388,147812,5347,0.3997610326523417,0.5580214025946891,0.022120802564655033,0.9650885680893712,0.03491143191062882
Bleckley,12873,9058,3463,145,12459,414,0.7036432843936922,0.2690126621611124,0.011263885652140138,0.9678396644138896,0.032160335586110464
Brantley,19109,17848,758,61,18676,433,0.934010152284264,0.03966717253650112,0.0031922130933068186,0.9773405201737401,0.022659479826259876
Brooks,15457,9493,5446,164,14500,957,0.6141553988484182,0.35233227663841626,0.010610079575596816,0.9380863039399625,0.06191369606003752
Bryan,39627,31029,6016,896,36613,3014,0.7830267242031947,0.15181568122744593,0.022610846140257906,0.9239407474701592,0.07605925252984076
Bulloch,79608,52993,23557,1069,76232,3376,0.6656743040900412,0.29591247110843133,0.013428298663450909,0.9575922017887649,0.042407798211235054
Burke,22383,11267,10502,125,21604,779,0.5033730956529509,0.46919537148728946,0.005584595451905464,0.9651968011437252,0.03480319885627485
Butts,24936,17076,7199,180,24050,886,0.6847930702598652,0.28869906961822267,0.007218479307025986,0.9644690407443054,0.03553095925569458
Calhoun,6189,2235,3766,53,5875,314,0.3611245758603975,0.6084989497495557,0.00856358054613023,0.9492648246889643,0.05073517531103571
Camden,54666,41019,10492,834,50763,3903,0.7503567116672154,0.19192916986792521,0.015256283613214796,0.9286027878388761,0.07139721216112392
Candler,10803,7784,2691,123,9472,1331,0.7205405905766916,0.2490974729241877,0.011385726187170231,0.8767934832916783,0.12320651670832176
Carroll,119992,91712,23610,1206,111363,8629,0.764317621174745,0.1967631175411694,0.010050670044669644,0.9280868724581639,0.07191312754183612
Catoosa,67580,62949,1973,951,65432,2148,0.9314738088191773,0.02919502811482687,0.014072210713228766,0.9682154483575022,0.03178455164249778
Charlton,13392,8630,4038,110,12670,722,0.6444145758661888,0.3015232974910394,0.008213859020310634,0.9460872162485066,0.05391278375149343
Chatham,289430,153523,119154,8532,270093,19337,0.5304322288636285,0.41168503610544865,0.029478630411498462,0.9331893722143524,0.06681062778564766
Chattahoochee,10907,7669,2120,320,9064,1843,0.7031264325662419,0.19437058769597507,0.029338956633354726,0.8310259466397726,0.1689740533602274
Chattooga,24789,21514,2426,141,23429,1360,0.8678849489693009,0.09786598894671024,0.005688006777199564,0.9451369559078624,0.054863044092137644
Cherokee,258773,226203,19914,5377,230166,28607,0.8741367917054715,0.07695547835361495,0.02077882932145162,0.8894513724383919,0.11054862756160805
Clarke,128331,83155,36341,5303,114214,14117,0.6479728202850441,0.2831817721361168,0.041322829246246036,0.8899954025138119,0.11000459748618806
Clay,2834,1070,1711,17,2787,47,0.37755822159491886,0.6037402964008468,0.005998588567395907,0.9834156669019054,0.016584333098094567
Clayton,292256,55855,212619,14687,253062,39194,0.19111669221504435,0.7275094437753202,0.0502538870031753,0.8658915471367569,0.1341084528632432
Clinch,6618,4573,1825,24,6235,383,0.6909942580840133,0.27576307041402237,0.003626473254759746,0.9421275309761257,0.05787246902387428
Cobb,760141,474248,218974,42561,659019,101122,0.6238947774162952,0.28807023960028466,0.055990927998884416,0.8669694175159609,0.13303058248403915
Coffee,43273,29521,12469,383,38045,5228,0.6822036835902294,0.28814734360917893,0.008850784553878862,0.8791856353846509,0.12081436461534906
Colquitt,45600,33152,10833,398,36674,8926,0.7270175438596491,0.2375657894736842,0.008728070175438597,0.8042543859649123,0.19574561403508772
Columbia,156714,114330,29447,6783,145587,11127,0.729545541559784,0.18790280383373534,0.04328266778973161,0.9289980473984456,0.07100195260155442
Cook,17270,11988,4817,125,16232,1038,0.694151708164447,0.27892298784018527,0.007237984944991315,0.9398957730167922,0.06010422698320787
Coweta,148509,113989,27385,3319,137659,10850,0.7675561750466302,0.18439959867752123,0.022348813876600072,0.926940454787252,0.07305954521274804
Crawford,12404,9387,2583,167,11961,443,0.7567720090293454,0.2082392776523702,0.01346339890357949,0.9642857142857143,0.03571428571428571
Crisp,22372,11667,10012,296,21526,846,0.5215000893974611,0.4475236903271947,0.013230824244591453,0.9621848739495799,0.037815126050420166
Dade,16116,15363,226,170,15743,373,0.9532762472077438,0.014023330851327873,0.010548523206751054,0.976855299081658,0.02314470091834202
Dawson,26108,25042,296,242,24739,1369,0.9591696031867627,0.011337521066339819,0.0092691895204535,0.9475639650681783,0.05243603493182166
Decatur,26404,14312,11272,175,24676,1728,0.5420390849871232,0.4269050143917588,0.006627783669141039,0.9345553703984245,0.06544462960157552
DeKalb,759297,272548,416429,49133,694540,64757,0.3589478162036726,0.5484402019236214,0.06470853960966526,0.9147145319947267,0.0852854680052733
Dodge,20605,13779,6292,105,19862,743,0.6687211841785974,0.3053627760252366,0.00509585052171803,0.9639407910701286,0.03605920892987139
Dooly,13390,6383,6719,101,12449,941,0.4766990291262136,0.5017923823749066,0.007542942494398805,0.9297236743838686,0.07027632561613144
Dougherty,87956,23093,62425,821,85267,2689,0.2625517304106599,0.7097298649324663,0.009334212560825868,0.9694278957660648,0.03057210423393515
Douglas,146343,66426,72720,2411,131362,14981,0.45390623398454316,0.49691478239478487,0.016474993679233035,0.8976309082087971,0.10236909179120286
Early,10190,4684,5268,75,9958,232,0.45966633954857705,0.5169774288518155,0.007360157016683023,0.9772325809617272,0.022767419038272816
Echols,4006,3512,248,27,2812,1194,0.8766849725411883,0.0619071392910634,0.00673989016475287,0.7019470793809286,0.2980529206190714
Effingham,64296,52627,9206,717,61165,3131,0.8185112604205549,0.14318153539878065,0.011151549085479657,0.9513033470200324,0.04869665297996765
Elbert,19194,13093,5566,188,18043,1151,0.682140252162134,0.28998645410023965,0.009794727519016359,0.9400333437532562,0.05996665624674377
